Country,Year,Food Types,Total Waste in Tons,Food Economic Loss (Million $),Avg Waste per Capita (Kg),Country Population (Million) (Not Accurate),Household Waste (%)
Argentina,2020,Meat & Seafood,40388.03,42433.51,25.64,1142.48,37.64
Germany,2019,Fruits & Vegetables,17074.89,15502.26,199.14,380.9,40.8
Australia,2019,Prepared Food,33214.4,33722.37,26.48,478.94,45.14
Turkey,2020,Fruits & Vegetables,37498.56,37175.4,140.93,1370.54,41.44
Japan,2019,Beverages,46617.87,55386,187.18,276.94,59.46
USA,2023,Dairy Products,1350.66,1486.33,126.25,916.87,45.74
Indonesia,2020,Fruits & Vegetables,16895.67,19414.99,27.4,756.92,39.93
India,2023,Grains & Cereals,2196.07,1810.24,25.67,169.53,35
France,2020,Dairy Products,15377.13,14750.52,194.07,133.2,64.41
Italy,2023,Beverages,10984.97,13178.29,78.5,320.86,55.25
Australia,2022,Beverages,43272.07,44745.57,127.93,1079.86,34.64
India,2019,Grains & Cereals,4349.1,5041.08,27.44,694.98,34.4
Japan,2020,Frozen Food,3590.1,3913.05,105.44,591.58,30.7
Turkey,2022,Fruits & Vegetables,39587.56,38946.61,184.85,1328.83,57.33
UK,2022,Prepared Food,44113,47014.28,192.98,967.44,59.65
India,2020,Grains & Cereals,30731.43,33663.23,99.01,1181.06,50.54
USA,2024,Beverages,32046.76,37019.97,102.53,1308.16,33.08
China,2019,Dairy Products,24714.37,20754.62,173.49,1279.15,61.83
USA,2018,Prepared Food,18484.48,17390.51,101.13,337.5,64.26
South Africa,2022,Meat & Seafood,1474.04,1208.28,104.39,828.2,31.77
UK,2018,Beverages,6534.01,5653.64,140.44,628.4,48.27
Japan,2021,Fruits & Vegetables,11616.43,13501.93,162.67,1013.24,50.58
France,2020,Grains & Cereals,16326.39,17607.06,70.39,1357.48,55.55
India,2018,Frozen Food,47617.94,39530.96,197.97,157.1,62.59
Japan,2023,Dairy Products,43696.87,35154.77,189.95,907.73,57.32
South Korea,2020,Bakery Items,6408,6276.8,187.43,731.31,64.21
Russia,2021,Frozen Food,15288.73,16576.42,197.71,826.58,37.05
Canada,2023,Prepared Food,30183.19,24591.72,115.97,695.44,51.22
Germany,2022,Beverages,49956.72,54284.18,115.03,327.46,33.73
Indonesia,2022,Meat & Seafood,15785.95,14969.94,89.02,1219.19,42.42
South Africa,2018,Prepared Food,27911.93,29353.37,35.89,728.14,38.27
Brazil,2019,Meat & Seafood,30939.1,26174.28,121.45,623.18,58.2
Turkey,2024,Prepared Food,21645.26,18587.6,57.84,1101.87,44.43
Australia,2019,Dairy Products,43235.32,44975.6,109.83,1188.29,56.39
Spain,2019,Grains & Cereals,41849.81,42853.46,90.87,1170.4,69.34
USA,2021,Grains & Cereals,42161.02,49890.82,182.21,118.35,39.81
Canada,2021,Dairy Products,44529.34,44569.81,39,888.96,68.16
Canada,2023,Meat & Seafood,24769.11,21827.22,114.9,1098.97,38.93
India,2022,Fruits & Vegetables,25330.28,23617.35,149.22,484.02,32.41
Italy,2024,Prepared Food,8760.69,8508.18,58.15,1316.45,60.8
Mexico,2018,Dairy Products,32326.04,30437.47,166.36,1334.68,42.74
Italy,2019,Bakery Items,7637.99,9063.1,157.21,121.4,46.36
Brazil,2023,Frozen Food,32324.65,34652.36,159.72,387.42,47.87
Mexico,2023,Beverages,25781.28,22716.09,107.49,47.45,69.31
Brazil,2019,Prepared Food,35813.64,35555.01,112.34,973.72,54.68
USA,2020,Bakery Items,41306.47,46542.54,162.14,1002.59,47.94
Spain,2024,Fruits & Vegetables,8893.76,8935.25,178.61,345.33,38.67
UK,2019,Dairy Products,16078.18,13225.2,144.2,84,61.62
Mexico,2024,Beverages,5706.66,4808.6,56.84,1042.76,41.37
Saudi Arabia,2020,Prepared Food,37669.36,39917.08,184.25,730.86,38.52
Canada,2022,Beverages,34547.54,27917.66,176.46,1143.81,60.94
Mexico,2024,Fruits & Vegetables,48049.54,43047.97,87,826.01,56.03
Turkey,2021,Frozen Food,9699.21,9979.66,121.47,1188.82,62.32
Saudi Arabia,2022,Grains & Cereals,47226.15,41252.03,192.94,1385.29,38.21
South Korea,2020,Frozen Food,24092.9,23745.33,105.75,149.96,36.39
China,2019,Prepared Food,38762.84,37350.95,147.43,1137.49,56.41
Russia,2024,Bakery Items,32596.97,30241.12,146.23,1260.58,55.28
USA,2020,Fruits & Vegetables,9373.69,7789.61,21.09,145.69,45.53
South Korea,2021,Fruits & Vegetables,23807.62,27875.66,144.51,1300.11,50.94
Russia,2019,Beverages,34253.7,38503.82,63.77,374.1,62.81
Saudi Arabia,2023,Bakery Items,18948.39,17147.31,24.01,891.92,37.56
China,2023,Bakery Items,42853.92,49497.73,130.67,1040.86,58.34
Russia,2019,Grains & Cereals,33663.52,26981,195.78,1042.91,51.34
Indonesia,2024,Grains & Cereals,26409.46,26058.98,169.86,895.54,47.06
Brazil,2018,Frozen Food,33671.34,36398.89,183.53,636.55,31.67
Australia,2019,Bakery Items,47078.22,52025.3,176.51,773.05,53.83
South Korea,2018,Bakery Items,14013.21,14906.11,84.92,1044.29,55.25
Brazil,2020,Fruits & Vegetables,7711.38,9222.89,47.53,272.77,32.51
Russia,2023,Dairy Products,49908.97,54435.3,51.24,832.2,36.05
Indonesia,2020,Bakery Items,28737.94,26128.39,158.98,683.66,53.01
Russia,2020,Frozen Food,35066.4,33371.66,68.93,963.01,50.4
Spain,2023,Beverages,24355.91,20283.73,108.7,37.42,31.8
Saudi Arabia,2018,Grains & Cereals,3314.83,3956.84,71.6,774.14,62.51
USA,2021,Bakery Items,22114.86,18136.48,82.21,280.94,57.9
Italy,2020,Dairy Products,25311.77,28790.9,156,1294.87,59.37
Brazil,2018,Grains & Cereals,17950.72,17621.32,64.46,118.95,42.38
India,2024,Prepared Food,26860.61,23558.94,110.56,1277.08,40.86
Mexico,2024,Grains & Cereals,2223.06,2636.22,22.35,128.99,68.1
USA,2024,Dairy Products,30531.9,27222.3,66.79,18.09,53.13
India,2018,Fruits & Vegetables,49983.05,45828.38,20.8,1005.94,48.07
China,2018,Dairy Products,32641.22,33649.48,29.05,800.67,69.58
Japan,2019,Dairy Products,28972.22,24334.05,87.14,557.42,59.83
Brazil,2019,Grains & Cereals,42849.14,37496.68,103.3,239.31,46.24
Spain,2020,Dairy Products,20115.27,18091.98,69.71,198.42,59.91
Mexico,2019,Dairy Products,34834.99,33285.12,81.9,1148.45,59.01
Germany,2023,Prepared Food,13477.56,14833.4,132.43,719.6,31.27
South Korea,2021,Bakery Items,1127.88,1005.91,94.53,440.22,33.33
Italy,2022,Bakery Items,26687,26492.81,99.71,396.82,51.39
Brazil,2018,Bakery Items,24847.8,26455.31,39.69,692.48,65.88
Canada,2021,Dairy Products,24418.4,21610.34,176.84,987.24,69.04
Mexico,2022,Fruits & Vegetables,26877.12,26874.74,74.08,1219.56,41.75
Russia,2024,Bakery Items,43678.73,40983.77,176.71,326.24,34.11
Russia,2019,Fruits & Vegetables,21146.3,17578.46,115.34,812.77,46.09
UK,2020,Bakery Items,20876.51,21824.19,168.68,119.59,58.62
Russia,2019,Fruits & Vegetables,45688.79,44285.07,116.59,1177.26,62.81
Italy,2019,Prepared Food,48422.76,49050.7,36.49,159.74,36.35
Turkey,2021,Grains & Cereals,11214.43,9089.3,123.53,455.21,49.29
Italy,2021,Fruits & Vegetables,9424.16,8884.31,163.74,81.34,67
Spain,2024,Frozen Food,30509.11,31009.16,125.06,1285.88,32.4
Brazil,2020,Frozen Food,13813.99,16464.36,61.12,432.9,32.02
Argentina,2018,Bakery Items,14956.55,15630.11,50.43,385.5,49.79
India,2020,Beverages,41798.12,48640.24,82.44,1173.58,54.26
India,2018,Frozen Food,40479.28,33378.7,185.39,1239.73,31.03
Italy,2023,Prepared Food,15981.86,19043.85,191.24,1338.38,42.45
Germany,2023,Frozen Food,11184.15,12986.34,180.49,1154.18,65.9
Japan,2023,Dairy Products,23379.09,20570.08,141.42,579.53,60.32
Russia,2020,Beverages,40775.15,34379.38,82.52,587.4,52.07
Spain,2021,Fruits & Vegetables,47976.21,45894.33,104.26,1073.68,41.47
Spain,2021,Grains & Cereals,2734.8,2579.47,139.24,440.36,56.87
Spain,2019,Beverages,37901.73,35252.74,180.1,131.02,59.78
USA,2021,Fruits & Vegetables,27982.15,25008.04,87.15,979.1,38.26
South Korea,2018,Grains & Cereals,19073.34,20965.73,77.95,1328.52,69.56
Australia,2022,Grains & Cereals,42604.34,42108.82,182.62,685.22,56.14
Italy,2019,Grains & Cereals,15857.62,15350.46,113.55,454.66,34.95
Mexico,2024,Dairy Products,40124.91,33316.74,111.39,917.67,56.47
Indonesia,2021,Frozen Food,8342.58,6932.62,122.26,882.7,68.01
Japan,2019,Beverages,32753.94,36813.62,79.78,702.17,43.49
South Africa,2021,Meat & Seafood,32082.1,34030.37,32.37,231.73,34.11
Spain,2024,Prepared Food,33758.23,37398.9,81.66,115.74,57.86
Italy,2019,Bakery Items,13881.37,14466.86,96.04,1225.54,65.25
Mexico,2020,Dairy Products,33048.31,35895.81,119.43,359.12,61.52
Italy,2022,Prepared Food,37308.08,36947.35,118.13,873.64,32.28
Argentina,2023,Prepared Food,42635.97,48447.86,33.33,339.7,34.39
Australia,2020,Prepared Food,3265.99,3537.61,45.48,522.46,64.34
Spain,2023,Dairy Products,10056.39,10564.4,45.67,1079.49,66.18
Italy,2022,Prepared Food,28613.26,33929.54,172.13,477.67,44.32
Turkey,2024,Beverages,4702.02,4546.38,199.36,373.62,60.38
Japan,2024,Bakery Items,43213.81,35272.67,127.87,57.24,50.07
Brazil,2021,Meat & Seafood,17279.53,19486.08,24.48,467.55,69.15
South Korea,2019,Fruits & Vegetables,7439.96,6975.64,65.91,924.32,45.12
France,2024,Dairy Products,36879.91,39028.57,32.11,425.66,44.35
Germany,2018,Bakery Items,10122.02,8555.14,183.65,637.96,64.61
Japan,2022,Beverages,44882.71,51488.54,83.65,1024.39,52.93
USA,2021,Meat & Seafood,29313.17,28556.57,151.53,295.93,62.71
Italy,2019,Dairy Products,49769.7,55384.98,192.45,410.13,58.01
Spain,2023,Grains & Cereals,39658.68,38532.97,106.97,653.25,36.15
Canada,2024,Prepared Food,48831.48,45814.1,184.3,240.7,34.59
Italy,2018,Dairy Products,14875.15,13836.81,92.03,1043.68,42.5
UK,2020,Beverages,808.24,945.46,92.01,615.89,67.28
Brazil,2024,Grains & Cereals,12092.46,10878.27,74.15,359.17,44.27
South Korea,2018,Bakery Items,813.66,862.67,41.04,1303.26,61.43
Australia,2018,Bakery Items,38680.89,42893.42,77.35,94.19,33.2
USA,2018,Prepared Food,11298.52,9437.01,27.92,1153.65,38.6
Germany,2022,Prepared Food,47978.53,48842.03,114.25,111.77,58.91
Turkey,2024,Fruits & Vegetables,30040.55,35060.51,70.12,851.52,61.42
Spain,2020,Prepared Food,30736.64,33989.3,109.74,408.2,31.59
Indonesia,2024,Frozen Food,43684.35,50495.65,88.83,250.71,67.41
USA,2024,Fruits & Vegetables,43881.4,35413.78,108.2,1097.25,57.1
Turkey,2024,Bakery Items,32356.46,32169.71,153.32,743.25,35.49
South Africa,2023,Fruits & Vegetables,27944.44,23988.32,188.25,620.77,31.72
France,2021,Prepared Food,10977.89,11812.26,88.06,156.63,47.51
Mexico,2022,Beverages,38332.25,35162.41,33.43,1343.89,60.76
Brazil,2019,Bakery Items,10931.38,10444.62,136.92,1078.15,41.39
Russia,2020,Prepared Food,48264.24,43540.42,142.31,242.78,60.24
Canada,2023,Fruits & Vegetables,44552.68,51187.91,45.36,281.25,33.74
Spain,2020,Fruits & Vegetables,34268.14,29301.39,108.74,63.14,61.4
Italy,2018,Bakery Items,43714.42,49967.62,153.43,486.73,32.24
South Korea,2018,Prepared Food,23125.88,22324.7,96.26,1353.44,35.13
Japan,2018,Meat & Seafood,19376.12,20946.42,29.3,771.35,67.52
USA,2022,Grains & Cereals,4429.76,5034.96,100.2,977.93,43.67
Australia,2024,Beverages,15627.62,13532.11,56.23,1002.43,36.9
Australia,2021,Meat & Seafood,23064.21,23466.58,108.85,1007.91,48.96
Indonesia,2020,Grains & Cereals,20249.23,18434.6,105.22,329.35,41.09
Canada,2021,Beverages,29725.21,25214.94,193.35,704.82,50.22
France,2020,Fruits & Vegetables,18663.02,18865.79,182.52,904,47.99
South Africa,2023,Fruits & Vegetables,23761.59,22926.52,90.49,726.35,44.46
Russia,2024,Bakery Items,49583.39,41007.19,160.65,411.06,50.94
USA,2020,Dairy Products,48894.02,41176.49,187.16,46.51,59.84
Brazil,2020,Beverages,31926.79,26501.35,37.62,1058.74,42.97
Canada,2022,Dairy Products,48968.97,47044.66,174.05,766.53,51.77
South Korea,2021,Bakery Items,22213.58,21456.53,99.8,161.44,32.74
China,2024,Dairy Products,38492.62,35957.74,140.84,562.97,35
China,2019,Bakery Items,23737.15,28424.05,72.28,890.56,68.2
France,2019,Meat & Seafood,25102.89,20756.5,71.75,876.64,33.46
South Africa,2021,Meat & Seafood,39326.74,37769.88,119.13,61.81,33.36
South Korea,2022,Meat & Seafood,19778.66,17597.46,157.66,251.85,38.61
Russia,2022,Meat & Seafood,42078.64,35469.58,22.55,1352.61,43.07
India,2023,Bakery Items,16867.17,15111.95,47.19,1024.52,59.32
Saudi Arabia,2018,Meat & Seafood,43902.22,50029.1,130.72,1028.56,31.05
Japan,2021,Beverages,49873.3,41839.46,110.31,69.09,52.22
Argentina,2022,Beverages,2481.87,2326.77,155.84,128.11,56.8
Japan,2021,Beverages,38958.82,35391.19,177.7,512.36,32.88
Saudi Arabia,2020,Beverages,15226.56,12197.03,60.73,1207.12,59.34
Argentina,2024,Frozen Food,18555.14,19320.52,170.77,609.14,49.21
Indonesia,2023,Prepared Food,13408.63,13556.12,127.34,556.13,59.11
USA,2022,Bakery Items,34495.83,33564.3,114.58,197.76,68.21
Australia,2020,Fruits & Vegetables,23928.49,26048.11,37.3,208.87,45.58
India,2022,Prepared Food,755.35,856.23,176.64,98.7,58.54
Russia,2022,Frozen Food,7876.24,7870.43,198.28,1112.61,43.97
China,2024,Beverages,39979.18,45547.1,57.75,615.36,59.99
China,2019,Frozen Food,27301.63,26592.29,121.57,1136.17,40.22
Turkey,2024,Prepared Food,25805.54,20723.45,116.33,230.13,42.7
Australia,2018,Prepared Food,29187.2,29544.19,129.84,1291.92,54.07
UK,2019,Meat & Seafood,36139.92,39445.09,138.12,284.87,45.94
Indonesia,2021,Fruits & Vegetables,29254.41,32371.66,166.33,476.27,60.48
South Korea,2020,Bakery Items,5358.44,4466.13,86.06,1058.57,48.32
Canada,2022,Beverages,26200.53,29637.18,46.49,1237.89,57.5
Turkey,2024,Grains & Cereals,4939.41,4710.95,44.83,943.5,60.5
Russia,2020,Meat & Seafood,43861.1,39486.64,43.42,751.11,52.89
Italy,2023,Frozen Food,1833.6,2054.64,64.53,1210.24,57.23
South Korea,2021,Dairy Products,5378.49,5466.76,168,674.89,56.81
South Korea,2024,Beverages,6142.25,6736.91,191.9,598.62,37.55
Brazil,2019,Frozen Food,46779.21,45308.93,122.27,1251.1,39.61
USA,2018,Meat & Seafood,6739.26,6362.37,38.08,362.85,46.55
Italy,2023,Grains & Cereals,4160.38,4534.82,35.85,1361.06,47.91
Italy,2024,Prepared Food,18217.73,16015.02,155.48,105.41,57.31
Turkey,2021,Bakery Items,8595.8,9306.28,135.64,45.73,63.15
Japan,2019,Bakery Items,12460.3,11210.97,63.36,475.77,60.34
Brazil,2023,Meat & Seafood,2797.59,2471.74,59.14,786.59,47.63
USA,2018,Grains & Cereals,47907.54,40900.14,82.34,1101.75,46.08
Italy,2024,Meat & Seafood,30966.7,26421,84.97,333.78,48.28
Brazil,2024,Dairy Products,11294.47,12771.33,96.39,1131.71,68.15
Mexico,2022,Frozen Food,47286.8,41615.04,31.9,1333.97,47.01
South Korea,2020,Grains & Cereals,14868.54,16315.6,106.98,1122.6,48.89
South Africa,2021,Frozen Food,26108.71,24989.03,174.38,989.12,36.07
Germany,2020,Bakery Items,37792.37,32403.2,20.3,984.9,65.86
Saudi Arabia,2020,Prepared Food,29776.58,25132.16,120.54,251.55,60.49
China,2021,Grains & Cereals,33847.53,27732.49,128.7,752.68,54.4
Spain,2020,Grains & Cereals,35478.26,32051.74,62.91,1342.27,47.07
France,2020,Grains & Cereals,35114.25,33799.51,121.65,524.52,42.63
Saudi Arabia,2024,Dairy Products,10844.82,11493.09,136.83,253.35,64.22
Spain,2024,Grains & Cereals,39590.67,40289.66,91.65,211.41,51.45
Spain,2021,Prepared Food,33519.55,37140.03,78.84,577.28,40.99
USA,2019,Fruits & Vegetables,31286.33,30230.48,176.42,745.68,36.95
China,2018,Meat & Seafood,34407.7,32250.86,130.36,1092.23,44.54
UK,2021,Bakery Items,15441.34,15527.29,162.4,316.61,32.12
Japan,2018,Beverages,10770.99,11922.17,130.51,204.07,43.42
Canada,2018,Beverages,4273.51,4600.98,161.32,125.45,31.28
Japan,2018,Beverages,14960.97,16460.24,94.82,1185.45,47.19
France,2021,Beverages,1313.25,1494.88,89.91,497.13,45.36
UK,2024,Fruits & Vegetables,25000.06,24375.61,63.9,1311.95,38.13
France,2023,Bakery Items,19860.94,18002.13,197.47,1281.77,49.06
India,2018,Grains & Cereals,10529.83,10207.94,123.53,1289.59,42
France,2024,Fruits & Vegetables,10476.49,11197.17,129.51,543.05,38.77
South Africa,2019,Bakery Items,13316.16,11647.55,144.89,898.32,32.34
Australia,2023,Fruits & Vegetables,45663.39,52305.81,26.76,521.62,59.78
Italy,2020,Prepared Food,4142.66,4272.11,110.01,340.95,39.98
USA,2020,Frozen Food,5599.71,6451.73,32.56,633.39,53.16
USA,2018,Meat & Seafood,36810.09,38564.99,54.73,1261.33,50.71
Argentina,2023,Grains & Cereals,8411.76,8059.49,73.43,475.88,51.85
Saudi Arabia,2024,Grains & Cereals,23330.7,24990.56,104.52,135.39,34.14
Saudi Arabia,2019,Beverages,15867.24,16358.67,160.22,604.55,31.21
Germany,2024,Frozen Food,33824.82,37275.06,151.76,608.36,41.68
Russia,2021,Bakery Items,31018.44,31061.98,70.3,1223.5,38.36
Indonesia,2024,Meat & Seafood,33443.55,26894.7,118.46,170.33,68.37
Russia,2023,Prepared Food,40030.58,42681.97,62.25,1202.78,55.35
Argentina,2024,Beverages,25338.81,28773.74,61.82,697.92,66.87
UK,2022,Prepared Food,4738.62,5043.42,99.09,629.72,38.12
Australia,2021,Bakery Items,41477.87,37213.44,138.23,1235.85,39.81
Canada,2022,Fruits & Vegetables,20168.3,23300.52,150.91,941.01,68.16
USA,2023,Beverages,35957.36,41729.4,198.7,224.1,66.3
China,2023,Frozen Food,34737.44,36898.57,156.25,347.41,36.67
Brazil,2023,Meat & Seafood,832.45,735.25,98.17,718.86,43.76
Spain,2020,Dairy Products,8577.52,6977.24,43.44,1170.83,50.57
Turkey,2018,Grains & Cereals,19266.63,17842.48,193.14,178.92,56.07
Australia,2024,Grains & Cereals,7890.78,9058.16,115.83,812.29,39.41
Argentina,2021,Prepared Food,30048.24,25327.89,138.25,750.29,64.22
India,2022,Bakery Items,14091.09,13971.36,167.9,899.81,49.07
Brazil,2024,Prepared Food,8845.75,8869.07,130.81,1133.91,35.45
India,2018,Bakery Items,37248.64,38981.4,144.28,534.54,55.15
Turkey,2020,Meat & Seafood,25693.36,29526.58,171.41,161.61,35.89
Saudi Arabia,2023,Bakery Items,46536.4,48535.68,153.28,820.64,50.26
UK,2020,Beverages,39918.47,37023.66,108.37,1066.39,46.94
Canada,2020,Frozen Food,49885.5,43032.44,38.74,81.82,37.1
USA,2024,Grains & Cereals,17934.08,14468.9,165.23,743.25,65.68
Spain,2021,Frozen Food,32179.38,36712.4,35.16,504.6,30.15
USA,2021,Prepared Food,20962.66,17783.72,108.66,1107.48,36.81
Spain,2022,Prepared Food,38549.89,39132.69,92.88,850.27,60.05
China,2022,Fruits & Vegetables,43181.63,46396.12,55.05,998.51,51.84
South Africa,2023,Fruits & Vegetables,47213.86,55320.76,20.09,996.68,66.23
Indonesia,2022,Beverages,47089.75,51628.68,120.49,422.46,66.81
India,2024,Frozen Food,17773.96,14458.37,167.97,197.41,34.79
Germany,2020,Fruits & Vegetables,45649.02,48828.17,57.92,626.28,64.58
Germany,2023,Prepared Food,9619.08,7756.08,34.24,76.2,37.21
Germany,2020,Meat & Seafood,28072.58,27108.89,145.77,118.76,33.06
Germany,2022,Bakery Items,23179.55,25727.14,172.19,1384.77,38.07
China,2019,Frozen Food,35645.74,40439.78,52.81,1070.18,40.62
UK,2019,Beverages,696.06,558.64,141.67,221.5,67.27
Italy,2019,Bakery Items,7678.1,6435.76,119.16,1179.95,43.05
Mexico,2019,Prepared Food,28703.66,31558.08,164.79,1063.86,49.38
China,2023,Bakery Items,2853.19,2648.01,47.4,930.43,45.92
South Korea,2018,Beverages,48048.09,56577.4,51.76,1377.2,64.04
Russia,2023,Beverages,1697.55,1700.03,159.52,66.77,62.6
India,2024,Frozen Food,10539.7,9456.77,135.35,1013.08,59.43
Japan,2019,Frozen Food,22476.79,23403.28,132.17,582.77,66.61
Germany,2021,Fruits & Vegetables,39109.04,34426.29,51.96,395.43,56.79
Saudi Arabia,2020,Bakery Items,16861.57,13640.07,58.37,673.13,51.99
Argentina,2021,Prepared Food,24650.97,25457.31,29.97,490.95,53.25
Canada,2021,Dairy Products,7749.46,8267.02,176.74,1070.98,59.1
Indonesia,2022,Beverages,13677.6,11904.54,26.95,236.04,54.38
Brazil,2018,Prepared Food,16389.17,14527.18,164.29,265.5,60.99
Russia,2021,Prepared Food,25316.54,25586.17,35.16,219.4,44.05
China,2021,Meat & Seafood,9401.08,10406.23,72.06,483.18,35.48
USA,2019,Dairy Products,43100.17,43888.64,188.15,791.26,67.1
France,2019,Beverages,23278.08,18634.85,29.46,279.01,56.28
South Africa,2024,Beverages,35210.4,33667.68,125.58,487.37,63.92
Germany,2020,Grains & Cereals,32182.02,31669.51,59.56,134.96,35.55
India,2018,Grains & Cereals,39229.59,43918.48,108.31,308.28,66.85
Italy,2020,Fruits & Vegetables,22188.4,19991.37,56.97,49.43,53.95
India,2024,Fruits & Vegetables,32340.21,31002.78,171.31,394.82,50.49
Turkey,2019,Dairy Products,10277.58,10227.7,123.39,1394.07,58.89
China,2021,Dairy Products,23923.65,25296.74,128.48,1001.48,40.71
Australia,2023,Bakery Items,45157,53564.49,115.23,812.87,33.9
Spain,2019,Grains & Cereals,11183.22,13039.17,85.35,689.37,39.84
France,2022,Frozen Food,15594.99,14825.92,78.92,202.99,33.17
Japan,2019,Bakery Items,26313.17,21587.83,102.04,154.1,30.66
India,2024,Prepared Food,917.16,983.12,151.18,241.65,55.07
Spain,2019,Meat & Seafood,27755.59,30296.11,77.78,942.96,54.99
Mexico,2024,Beverages,37067.86,41505.39,100.67,978.64,32.78
Mexico,2021,Frozen Food,42752.86,44995.09,131.88,521.78,32.95
Canada,2021,Beverages,47607.95,43821.9,130.48,53.93,49.83
South Korea,2022,Grains & Cereals,22942.38,19277.51,113.71,522.25,53.82
UK,2021,Prepared Food,31516.72,37095.6,174.72,928.38,66.86
Brazil,2020,Meat & Seafood,2173.71,2153.3,189.77,1191.13,62.5
South Africa,2023,Bakery Items,19958,17988.28,191.19,1167.48,30.29
UK,2021,Frozen Food,33407.8,37966.92,169.23,368.13,48.21
France,2023,Prepared Food,1329.78,1241.13,197.64,1122.05,37.02
Italy,2023,Meat & Seafood,40075.57,42113.39,86.45,1316.48,35
Turkey,2020,Meat & Seafood,14300.86,16682.72,138.84,1394.7,66.55
China,2018,Fruits & Vegetables,34565.34,39768.46,117.99,1266.1,44.74
USA,2022,Grains & Cereals,19540.97,17882.5,183.25,214.17,33.81
Saudi Arabia,2023,Fruits & Vegetables,7865.27,7212.47,41.79,1300.76,61.53
Canada,2021,Bakery Items,25685.9,22671.47,141.24,1272.07,33.92
South Africa,2018,Frozen Food,11519.01,11225.03,175.83,783.23,52.88
Australia,2018,Prepared Food,28963.8,28028.78,51.95,1207.99,47.98
Spain,2021,Dairy Products,6591.96,5430.54,47.72,917.23,58.72
China,2020,Meat & Seafood,5400.45,5284.17,138.18,70.25,59.44
Canada,2024,Meat & Seafood,30861.44,33051.89,51.45,1081.13,47.58
Argentina,2021,Prepared Food,26637.65,26863.99,76.79,396.8,34.32
Brazil,2020,Dairy Products,39942.64,38567.82,89.26,95.85,64.37
Indonesia,2019,Dairy Products,20608.88,22193.89,33.9,1241.78,31.6
Argentina,2019,Prepared Food,3212.13,3440.46,21.95,1152.71,55.59
UK,2019,Grains & Cereals,15409.64,12563.66,40.58,203.57,34.57
Turkey,2021,Fruits & Vegetables,41860.94,39019.3,53.66,706.4,35.22
Argentina,2021,Frozen Food,4571.25,4641.71,29.11,585.23,46.35
South Africa,2021,Meat & Seafood,31789.17,32620.18,103.68,898.11,31.21
Canada,2021,Prepared Food,34210.27,38932.64,34.05,699.58,64.47
UK,2022,Fruits & Vegetables,24194.55,24007,72.43,703.37,65.48
Italy,2020,Grains & Cereals,1507.01,1665.67,23.29,884.81,56.52
Mexico,2024,Prepared Food,17666.7,18290.14,179.48,609.34,42.01
Russia,2022,Dairy Products,28166.03,32064.33,135.33,73.53,45.78
Japan,2023,Meat & Seafood,22068.06,25370.79,125.75,1204.48,63.8
Japan,2018,Meat & Seafood,14117.67,15947.33,58.77,450.71,59.46
South Africa,2020,Meat & Seafood,35550.5,28691.26,75.11,652.95,43.32
Saudi Arabia,2018,Dairy Products,18397.26,18345.47,196.15,1350.54,64.78
South Korea,2024,Grains & Cereals,18182.49,17421.64,120.88,459.86,37.63
France,2024,Bakery Items,33678.99,37845.96,182.7,1010.87,33
Italy,2018,Meat & Seafood,49725.48,39791.28,179.25,825.15,41.96
Mexico,2018,Bakery Items,43718.87,46546.15,63.86,302.83,30.34
Japan,2018,Prepared Food,18178.17,20882.56,103.45,1087.47,52.21
Turkey,2019,Prepared Food,2361.78,2447.68,114.16,304.01,52.47
South Africa,2021,Frozen Food,22518.1,22926.93,132.46,794.3,38.63
Indonesia,2019,Fruits & Vegetables,6573.61,7409.16,139.21,205.93,32.19
Turkey,2023,Fruits & Vegetables,7728.67,6610.72,77.94,1000.73,59.21
Indonesia,2024,Dairy Products,16939.91,16626.25,173.64,222.19,62.43
Italy,2023,Beverages,44859.73,53743.68,126.17,611.76,34.67
Saudi Arabia,2019,Frozen Food,45282.57,39853.28,151.43,828.24,46.18
South Korea,2023,Meat & Seafood,39542.72,41554.81,30.7,1155.38,55.76
Russia,2024,Frozen Food,2136.04,2213.57,24.64,1299.3,43.87
China,2020,Fruits & Vegetables,15558.69,18531.01,140.23,205.45,59.95
India,2019,Prepared Food,30862.47,26345.71,52.53,440.76,40.66
Mexico,2024,Meat & Seafood,30474.95,34692.4,21.06,1315.27,61.48
South Korea,2020,Frozen Food,27722.41,29609.5,55.95,368.49,62.46
Japan,2021,Grains & Cereals,1269.09,1405.35,178.23,192.26,39.02
USA,2024,Bakery Items,28800.97,25638.14,116.79,574.23,46.81
Saudi Arabia,2021,Prepared Food,23699.25,23056.02,80.21,221.33,36.39
Brazil,2022,Bakery Items,49442.91,42866.87,69.15,144.79,37.58
Argentina,2023,Beverages,17577.6,21040.48,173.11,258.5,39.16
Mexico,2024,Prepared Food,44829.03,51182.3,105.46,188.33,36.05
China,2020,Frozen Food,47767.96,46986.38,53.5,448.82,59.92
Russia,2023,Bakery Items,38587.95,36062.72,27.36,346.48,58.68
Indonesia,2022,Grains & Cereals,48773.09,49979.19,110.86,885.95,35.71
Canada,2019,Fruits & Vegetables,35769.23,42188.36,44.51,75,37.39
USA,2023,Beverages,4411.22,4831.53,94.76,1142.37,39.86
China,2023,Frozen Food,2117.79,2145.55,127.54,1034.96,45.75
USA,2020,Beverages,31203.21,35795.47,151.41,29.97,43.62
